USERNAME,USER_ID,TITLE,VOLUME,EDITION,PAGENUM,DTY_END,JOURNAL_NAME,CONTYPE,EDITORS,PUBCTYST,COMMENT,PUBLISHER,url,INTELLCONT_AUTH_1_FACULTY_NAME,INTELLCONT_AUTH_1_FNAME,INTELLCONT_AUTH_1_MNAME,INTELLCONT_AUTH_1_LNAME,INTELLCONT_AUTH_2_FACULTY_NAME,INTELLCONT_AUTH_2_FNAME,INTELLCONT_AUTH_2_MNAME,INTELLCONT_AUTH_2_LNAME,INTELLCONT_AUTH_3_FACULTY_NAME,INTELLCONT_AUTH_3_FNAME,INTELLCONT_AUTH_3_MNAME,INTELLCONT_AUTH_3_LNAME,INTELLCONT_AUTH_4_FACULTY_NAME,INTELLCONT_AUTH_4_FNAME,INTELLCONT_AUTH_4_MNAME,INTELLCONT_AUTH_4_LNAME,INTELLCONT_AUTH_5_FACULTY_NAME,INTELLCONT_AUTH_5_FNAME,INTELLCONT_AUTH_5_MNAME,INTELLCONT_AUTH_5_LNAME,INTELLCONT_AUTH_6_FACULTY_NAME,INTELLCONT_AUTH_6_FNAME,INTELLCONT_AUTH_6_MNAME,INTELLCONT_AUTH_6_LNAME
nws10,,Understanding the impact of a summer service-learning program on the social dominance orientation of gifted adolescents,,,,2013,,Journal Article,,,,Gifted Education International,,,N.,S.,Webster,,T.,,Stewart,,H.,,Bai,,,,,,,,,,,,
nws10,,A Method for Improving the Education of Latino Students in Charter Schools,,,,2011,Cultural tension and dynamics in service learning,Journal Article,"Stewart , Webster ","Greensboro, NC",,Information Age Publishing,,,N.,,Webster,,C.,,Martin,,,,,,,,,,,,,,,,
nws10,,Constructing meaning of education and development for urban youth in the Caribbean. Commissioned paper for the St,,,,2011,,Journal Article,,,,Vincent and Grenadine Ministry of Education,,,N.,,Webster,,W.,,Ganpat,,,,,,,,,,,,,,,,
nws10,,Constructing meaning of education and service learning for Hispanic youth in urban charter schools,,,,0,Hispanic Journal of Behavioral Sciences,Journal Article,,,,,,,N.,,Webster,,,,,,,,,,,,,,,,,,,,
nws10,,The role of mentoring and its impact on urban youth and their education,,,,0,,Journal Article,,,,,,,S.,,Ward,,N.,,Webster,,,,,,,,,,,,,,,,
nws10,,Constructing meaning of 4H involvement in civic activities,,,,0,,Journal Article,,,,,,,N.,,Webster,,R.,,Kawai,,,,,,,,,,,,,,,,
nws10,,Review of The Unheard Voices: Community Organizations and Service Learning,14,,115â€“118,2010,Journal of Higher Education Outreach and Engagement,Journal Article,,,,,,,N.,,Webster,,,,,,,,,,,,,,,,,,,,
nws10,,N.Energy Efficiency: An Experiential-Based Energy Unit for Youth Ages 13-18,,,,,Journal of Extension,Journal Article,,,,,,,M.,,Poorman,,Webster,,,,,,,,,,,,,,,,,,
nws10,,Problematizing the culture of service learning,,,,2010,,Journal Article,"T. Stewart, N. Webster","Greensboro, NC",,Information Age Publishing,,,N.,,Webster,,H.,,Coffey,,R.,,Simmons,,,,,,,,,,,,
nws10,,Student identities and the tourist gaze in international service-learning: A university project in Belize,14,,5â€“32,2010,Journal of Higher Education Outreach and Engagement,Journal Article,,,,,,,E.,,Prins,,N.,,Webster,,,,,,,,,,,,,,,,
